Party,Won_URL,Won,Leading,Total
Bharatiya Janata Party - BJP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-369.htm,240,"
                                                                                        0
                                                                                    ",240
Indian National Congress - INC,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-742.htm,99,"
                                                                                        0
                                                                                    ",99
Samajwadi Party - SP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-1680.htm,37,"
                                                                                        0
                                                                                    ",37
All India Trinamool Congress - AITC,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-140.htm,29,"
                                                                                        0
                                                                                    ",29
Dravida Munnetra Kazhagam - DMK,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-582.htm,22,"
                                                                                        0
                                                                                    ",22
Telugu Desam - TDP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-1745.htm,16,"
                                                                                        0
                                                                                    ",16
Janata Dal  (United) - JD(U),https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-805.htm,12,"
                                                                                        0
                                                                                    ",12
Shiv Sena (Uddhav Balasaheb Thackrey) - SHSUBT,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-3369.htm,9,"
                                                                                        0
                                                                                    ",9
Nationalist Congress Party – Sharadchandra Pawar - NCPSP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-3620.htm,8,"
                                                                                        0
                                                                                    ",8
Shiv Sena - SHS,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-3529.htm,7,"
                                                                                        0
                                                                                    ",7
Lok Janshakti Party(Ram Vilas) - LJPRV,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-3165.htm,5,"
                                                                                        0
                                                                                    ",5
Yuvajana Sramika Rythu Congress Party - YSRCP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-1888.htm,4,"
                                                                                        0
                                                                                    ",4
Rashtriya Janata Dal - RJD,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-1420.htm,4,"
                                                                                        0
                                                                                    ",4
Communist Party of India  (Marxist) - CPI(M),https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-547.htm,4,"
                                                                                        0
                                                                                    ",4
Indian Union Muslim League - IUML,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-772.htm,3,"
                                                                                        0
                                                                                    ",3
Aam Aadmi Party - AAAP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-1.htm,3,"
                                                                                        0
                                                                                    ",3
Jharkhand Mukti Morcha - JMM,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-852.htm,3,"
                                                                                        0
                                                                                    ",3
Janasena Party - JnP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-860.htm,2,"
                                                                                        0
                                                                                    ",2
Communist Party of India  (Marxist-Leninist)  (Liberation) - CPI(ML)(L),https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-545.htm,2,"
                                                                                        0
                                                                                    ",2
Janata Dal  (Secular) - JD(S),https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-804.htm,2,"
                                                                                        0
                                                                                    ",2
