Party,Won_URL,S_No,Parliament_Constituency_URL,Parliament_Constituency,Winning_Candidate,Total_Votes,Margin
Bharatiya Janata Party - BJP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-369.htm,1,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S015.htm,Anakapalle(5),C.M.RAMESH,762069,296530
Bharatiya Janata Party - BJP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-369.htm,2,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S018.htm,Rajahmundry(8),DAGGUBATI PURANDHESHWARI,726515,239139
Bharatiya Janata Party - BJP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-369.htm,3,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S019.htm,Narsapuram(9),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),707343,276802
Bharatiya Janata Party - BJP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-369.htm,4,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S021.htm,Arunachal West(1),KIREN RIJIJU,205417,100738
Bharatiya Janata Party - BJP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-369.htm,5,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S022.htm,Arunachal East(2),TAPIR GAO,145581,30421
Bharatiya Janata Party - BJP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-369.htm,6,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S034.htm,Darrang-Udalguri(4),DILIP SAIKIA,868387,329012
Bharatiya Janata Party - BJP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-369.htm,7,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S035.htm,Guwahati(5),BIJULI KALITA MEDHI,894887,251090
Bharatiya Janata Party - BJP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-369.htm,8,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S036.htm,Diphu(6),AMARSING TISSO,334620,147603
Bharatiya Janata Party - BJP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-369.htm,9,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S037.htm,Karimganj(7),KRIPANATH MALLAH,545093,18360
Bharatiya Janata Party - BJP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-369.htm,10,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S038.htm,Silchar (8),PARIMAL SUKLABAIDYA,652405,264311
Bharatiya Janata Party - BJP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresultState-369.htm,11,https://results.eci.gov.in/PcResultGenJune2024/candidateswise-S0310.htm,Kaziranga(10),KAMAKHYA PRASAD TASA,897043,248947
