States,Party,Won_URL,Won,Leading,Total
 Andhra Pradesh,Telugu Desam - TDP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresult-1745S01.htm,16,"
                                                                                        0
                                                                                    ",16
 Andhra Pradesh,Yuvajana Sramika Rythu Congress Party - YSRCP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresult-1888S01.htm,4,"
                                                                                        0
                                                                                    ",4
 Andhra Pradesh,Bharatiya Janata Party - BJP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresult-369S01.htm,3,"
                                                                                        0
                                                                                    ",3
 Andhra Pradesh,Janasena Party - JnP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresult-860S01.htm,2,"
                                                                                        0
                                                                                    ",2
 Arunachal Pradesh,Bharatiya Janata Party - BJP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresult-369S02.htm,2,"
                                                                                        0
                                                                                    ",2
 Assam,Bharatiya Janata Party - BJP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresult-369S03.htm,9,"
                                                                                        0
                                                                                    ",9
 Assam,Indian National Congress - INC,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresult-742S03.htm,3,"
                                                                                        0
                                                                                    ",3
 Assam,"United People’s Party, Liberal - UPPL",https://results.eci.gov.in/PcResultGenJune2024/partywisewinresult-1998S03.htm,1,"
                                                                                        0
                                                                                    ",1
 Assam,Asom Gana Parishad - AGP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresult-83S03.htm,1,"
                                                                                        0
                                                                                    ",1
 Bihar,Janata Dal  (United) - JD(U),https://results.eci.gov.in/PcResultGenJune2024/partywisewinresult-805S04.htm,12,"
                                                                                        0
                                                                                    ",12
 Bihar,Bharatiya Janata Party - BJP,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresult-369S04.htm,12,"
                                                                                        0
                                                                                    ",12
 Bihar,Lok Janshakti Party(Ram Vilas) - LJPRV,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresult-3165S04.htm,5,"
                                                                                        0
                                                                                    ",5
 Bihar,Rashtriya Janata Dal - RJD,https://results.eci.gov.in/PcResultGenJune2024/partywisewinresult-1420S04.htm,4,"
                                                                                        0
                                                                                    ",4
