States,Total Seats
 Andhra Pradesh,  Andhra Pradesh (Total PC - 25) 
 Arunachal Pradesh,  Arunachal Pradesh (Total PC - 2) 
 Assam,  Assam (Total PC - 14) 
 Bihar,  Bihar (Total PC - 40) 
 Goa,  Goa (Total PC - 2) 
 Gujarat,  Gujarat (Total PC - 26) 
 Haryana,  Haryana (Total PC - 10) 
 Himachal Pradesh,  Himachal Pradesh (Total PC - 4) 
 Karnataka,  Karnataka (Total PC - 28) 
 Kerala,  Kerala (Total PC - 20) 
 Madhya Pradesh,  Madhya Pradesh (Total PC - 29) 
 Maharashtra,  Maharashtra (Total PC - 48) 
 Manipur,  Manipur (Total PC - 2) 
 Meghalaya,  Meghalaya (Total PC - 2) 
 Mizoram,  Mizoram (Total PC - 1) 
 Nagaland,  Nagaland (Total PC - 1) 
 Odisha,  Odisha (Total PC - 21) 
 Punjab,  Punjab (Total PC - 13) 
 Rajasthan,  Rajasthan (Total PC - 25) 
 Sikkim,  Sikkim (Total PC - 1) 
 Tamil Nadu,  Tamil Nadu (Total PC - 39) 
 Tripura,  Tripura (Total PC - 2) 
 Uttar Pradesh,  Uttar Pradesh (Total PC - 80) 
 West Bengal,  West Bengal (Total PC - 42) 
 Chhattisgarh,  Chhattisgarh (Total PC - 11) 
 Jharkhand,  Jharkhand (Total PC - 14) 
 Uttarakhand,  Uttarakhand (Total PC - 5) 
 Telangana,  Telangana (Total PC - 17) 
 Andaman & Nicobar Islands,  Andaman & Nicobar Islands (Total PC - 1) 
 Chandigarh,  Chandigarh (Total PC - 1) 
 Dadra & Nagar Haveli and Daman & Diu,  Dadra & Nagar Haveli and Daman & Diu (Total PC - 2) 
 NCT OF Delhi,  NCT OF Delhi (Total PC - 7) 
 Lakshadweep,  Lakshadweep (Total PC - 1) 
 Puducherry,  Puducherry (Total PC - 1) 
 Jammu and Kashmir,  Jammu and Kashmir (Total PC - 5) 
 Ladakh,  Ladakh (Total PC - 1) 
